S. No.,source,startupName,foundedDate,description,ICB_industry,ICB_sector,startupClassification,startupClassification2,businessModel,keyword1,keyword2,keyword3,city,state,startupStatus,groupClassification1,groupClassification2,groupClassification3,groupclassification4,Stage at the time of incubation,"Total investment by founders (Rupees, Lakhs)",Number of Founders,founder1Name,founder2Name,founder3Name,incubator,incubatorDate,Start-up stage,incubatorResult,accelerator,accleratorDate,Start-up stage,accelaratorResult,round1Date,round1InvestorCount,round1LeadInvestorType,round1InvestmentAmount,round1Valuation,Round1 Employees (Number),"Round1 Revenues (Rupees, Lakhs)",round2Date,round2InvestorCount,round2LeadInvestorType,round2InvestmentAmount,round2Valuation,Round2 Shareholding,Round2 Employees (Number),"Round2 Revenues (Rupees, Lakhs)",round3Date,round3InvestorCount,round3LeadInvestorType,round3InvestmentAmount,round3Valuation,Round3 Shareholding,Round3 Employees (Number),"Round3 Revenues (Rupees, Lakhs)",Round4 date,Round4 Total investors,Round4 Lead Investor type,Round4 Investment amount (Rupees Crores),Round4 Valuation (Rupees Crores),Round4 Shareholding,Round4 Employees (Number),"Round4 Revenues (Rupees, Lakhs)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shutdown
298,Deal curry,HW Wellness Solutions Private Limited,2015,HW Wellness Solutions Private Limited markets and sells health and wellness brands (products and services) online.,Healthcare,Healthcare,Health_Tech,,B2C,Health and wellness products sellers,,,Thane,Maharashtra,Angel investment,Pharmacy & Medical Supplies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,Deal curry,i2e1,2015,i2e1 offers technology solutions that focus on providing secure internet services.,Technology,Software & Computer Services,Software_and_Internet_Services,,B2B2C,Internet service providers,,,Delhi,,Angel investment,Internet and software development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,Deal curry,Ideas Unplugged Technologies Private Limited,2016,Ideas Unplugged Technologies Pvt Ltd. operates a network-based job referral application.,Technology,Software & Computer Services,Software_and_Internet_Services,,B2C,Job referral application,,,Mumbai,Maharashtra,Angel investment,Enterprise Networking,,,,,,3,Harshit Bavisi,Nimit Bavishi,Mitesh Jain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,Deal curry,igrenEnergi Services Private Limited,2016,"IgrenEnergi is creating disruptive products to optimize energy generation, conversion, storage as well as smart grid interactions.",Oil and Gas,Oil and gas,Clean_Tech,,B2C,Energy management,,,Bengaluru,Karnataka,Angel investment,Solar energy,,,,,,4,Sunit Tyagi,Jiten Apte,Sujit Dey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,Deal curry,IKAAZ SOFTWARE PRIVATE LIMITED,2014,"iKaaz offers a mobile payments platform for enterprises, business correspondents and merchants in developed and emerging markets to enable them to extend cashless transactions to their customers. The iKaaz platform is designed to be fast, secure and affordable.",Financials,Financial services,Fin_Tech_and_Payments,,B2C,Mobile payment platform,,,Bengaluru,Karnataka,Angel investment,Payments and Wallet,,,,,,1,Soma Sundaram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,Deal curry,iKure TechSoft Private Limited,2014,"iKure Techsoft, a technology start-up, has been established to leverage ICTâ€™s strengths to extend healthcare services to Indiaâ€™s rural population. ",Healthcare,Healthcare,Health_Tech,,B2C,Rural health care service providers,,,Kolkata,West Bengal,Angel investment,Healthcare Analytics and Software,,,,,,1,Sujay Santra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,Deal curry,Iluminar Media Private Limited,2015,"Iluminar Media Private Limited operates a content and engagement platform that allows multinationals, neighborhood bars, or startups to connect with audience in India. It offers services in the areas of food and drink aspects, lifestyle aspects, wellness aspects, features, hood guides, and events.",Consumer_services,Media,Media_Advertising_and_Gaming,,B2B,Content and engagement platform,,,Delhi,,Angel investment,Advertising,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,Deal curry,Imma Web Private Limited,2015,"LocalOye operates as a mobile marketplace for hiring local service. The Company provides services in the field of education, home services, wellness, and events.",Technology,Software & Computer Services,Consumer_Products_and_Services,,B2C,Mobile market place for hiring services,,,Mumbai,Maharashtra,Angel investment,Servicing,,,,,,2,Aditya Rao,Anupam Tulsyan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,Deal curry,IMMI Life Private Limited,2015,iMMi Life connects patients at clinics with cardiologists via mobile networks to advise on ECGs in order to speed up diagnosis and reduce deaths caused by heart attacks.,Healthcare,Healthcare,Health_Tech,,B2C,Health care,,,Chennai,Tamil Nadu,Angel investment,Telemedicine and Online health care platforms,,,,,,1,Manick Rajendran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,Deal curry,India Drivers Network Services Private Limited,2014,"India Drivers Network Services Private Ltd. operates mGaadi, a location-based network of auto rickshaw drivers in Bengaluru. Its mGaadi commuting service enables to hire auto rickshaws for a point to point service.",Technology,Software & Computer Services,Software_and_Internet_Services,,B2C,Auto rickshaw service,,,Bengaluru,Karnataka,Angel investment,Enterprise Networking,,,,,,2,Solomon Prakash,Vishy Kuruganti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,Deal curry,Indulge Beverages Private Limited,2015,Indulge Beverages is a coffee shop serving gourmet coffee and tea wherever you are.,Consumer_goods,Food and beverage,Hyperlocal_and_Logistics,,B2C,Coffee shop,,,Delhi,,Angel investment, Food Products,,,,,,2,Tuhin Jain,Kunal Baghat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,Deal curry,Infinity Assurance Solutions Private Limited,2015,Infinity Assurance Solutions provides service administration including manufacturer warranty and creating & managing warranty products.,Consumer_services,Retail,Consumer_Products_and_Services,,B2C,Service administration,,,Delhi,,Angel investment,Professional Services,,,,,,2,R K Goel,Puneet Gargya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,Deal curry,Infurnia Furnishings Private Limited,2016,Infurnia is a furniture technology startup. We develop innovative technologies for furniture sellers which help them showcase their customizable furniture offerings with best real time 3D visualization.,Industrials,Industrial goods and services,Internet_marketplace_and_eCommerce,,B2B,Furniture technology start-up,,,Bengaluru,Karnataka,Angel investment,Home and furniture,,,,,,3,Nikhil Kumar,Parul Jain,Lovepreet Mann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,Deal curry,Instant Hotels Around You Private Limited,2014,Instant Hotels Around You Private Limited operates an online platform that provides same day hotel booking services.,Consumer_services,Retail,Internet_marketplace_and_eCommerce,,B2C,Hotel booking service providers,,,Mumbai,Maharashtra,Angel investment,Booking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,Deal curry,Instasafe Technologies Private Limited,2015,InstaSafe is a cloud security-based startup focused on enabling businesses to adopt cloud computing technologies and applications.,Technology,Software & Computer Services,Software_and_Internet_Services,,B2B,Cloud security based start-up,,,Bengaluru,Karnataka,Angel investment,Cloud Infrastructure,,,,,,4,Prashanth Guruswamy,Deepak Panigraphy,Bijo George,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,Deal curry,Intruo Technologies Private Limited,2015,"Intruo Technologies Pvt Ltd. provides Intruo, a reviews platform for interior designers, carpenters, painters, and architects.",Technology,Software & Computer Services,Internet_marketplace_and_eCommerce,,B2B,Review platform for interior designers,,,Bengaluru,Karnataka,Angel investment,Home and furniture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,Deal curry,Invention Labs Engineering Products Private Limited,2014,"Invention Labs makes products for persons with communication disorders. Avaz, the first product launched by Invention Labs helps persons with cerebral palsy to communicate in an independent manner.",Technology,Software & Computer Services,Technology_,,B2C,Engineering company producing medical devices,,,Chennai,Tamil Nadu,Angel investment,Advanced Materials,,,,,,1,Ajith Narayanan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,Deal curry,Invexgo Solutions Private Limited,2016,"InvexGo Solutions Pvt. Ltd. provides on-demand concierge services in Gurgaon, India. The company offers shopping, run errands, pick and drop, and domestic and professional help search services. Additionally, it provides DoneThing, an application which enables customers to avail the services.",Consumer_services,Retail,Consumer_Products_and_Services,,B2C,Concierage service providers,,,Gurgaon,Haryana,Angel investment,Servicing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,Deal curry,iZodiaque Numerology Services Private Limited,2015,"iZodiaque Numerology Services Pvt Ltd. operates an astrology marketplace that connects users with astrologers, numerologists, palmists, tarot card readers, vaastu consultants, psychics, and healers worldwide.",Consumer_services,Retail,Social_Platforms,,B2C,Astrology marketplace,,,Kolkata,West Bengal,Angel investment,Connect to Professionals,,,,,,1,Singhania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,Deal curry,JMS Logistics And Express Private Limited,2014,JMS Logistics & Express Pvt. Ltd. provides technology led customized logistics solutions to customers,Technology,Software & Computer Services,Hyperlocal_and_Logistics,,B2C,Customised logistic services,,,Mumbai,Maharashtra,Angel investment,Delivery services and logistics,,,,,,3,Mazhar Faruqi,Jayesh Kamat ,Sandeep Padoshi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,Deal curry,Joybynature,,"Joybynature.com is about delivering joy from nature to your home. With over 150 brands and 10,000 products we are the largest online player in India in Natural/Organic space.",Consumer_goods,Food and beverage,Internet_marketplace_and_eCommerce,,B2C,Logistics services,Online marketplace for natural/organic products are sold,,Delhi,,Angel investment,Agricultural Products,,,,,,1,Shailesh Mehta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346,Deal curry,Kapsica Media Private Limited,2011,"Kapsica is a digital marketing agency founded by  specialized in providing customized, quick and scalable online advertising solutions to businesses across all industries.",Technology,Software & Computer Services,Industrial_and_Business_Products_and_Services,,B2B,Digital marketing services and software developments,,,pune,Maharashtra,Angel investment,Business Support Services,,,,,,2,Shrikanth K ,Abijit Gogoi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,Deal curry,Ketto Online Ventures Private Limited,2012,"Ketto is a social network or NGO/social enterprises in India, serving as a platform for companies to raise funds, recruit volunteers, and build partnerships domestically and internationally.",Industrials,Industrial goods and services,Industrial_and_Business_Products_and_Services,,B2B,Crowd funding ,Recurit employees,Hedge funds,Mumbai,Maharashtra,Angel investment,Business Support Services,,,,,,3,Kunal Kapoor,Varun Sheth,Zaheer Adenwala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,Deal curry,KidsWids Online Services ,2014,"Kidswids Online Services Pvt. Ltd. provides customized and personalized items for children in the age group of three-twelve years. The company offers T-shirts, wind up robot mugs, tees, figurines, and softies through its online store.",Technology,Software & Computer Services,Internet_marketplace_and_eCommerce,,B2C,customized and personalized items for children ,,,Jaipur,Rajasthan,Angel investment,"Toys, baby products and Kids fashion",,,,,,1,Anugrah Sharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,Deal curry,KleverKid,2014,"KleverKid operates a Web-based marketplace that helps parents to view afterschool and extra-curricular activities for school children. It enables users to search for activities, classes, coaches, tutors, extracurricular activities, playschools, and workshops in the areas of academics, aerobics, art, chess, crèche, culture, communications, computers, dieting, dance, event, fitness, music, nursery, play school, prep, schools, sports, subjects, and summer camps. ",Technology,Software & Computer Services,Edu_Tech,,B2C,Marketplace  helps to find tutors for children,Help parents to find extra circular activities for kids,,Delhi,,Angel investment,Tuitions and Tutors,,,,,,1,Shabnam Aggarwal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,Deal curry,Kobster E-Shop Private Limited,2012,"Kobster E-Shop Private Limited retails office products and supplies through its Website. Its office supplies include staples, pins and punches, calculators, markers and highlighters, pen and pencils, scissors and cutters, clips and pins, stamp pads etc",Industrials,Industrial goods and services,Internet_marketplace_and_eCommerce,,B2B,Supplies stationery,,,Chennai,Tamil Nadu,Angel investment,Books and Stationery,,,,,,3,Mohan G,Karthik R, Vineet Neeraj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,Deal curry,Kopenz Interactive Solutions ,2015,"Kopenz Interactive Solutions Private Limited provides a mobile application to order medication and pharma/healthcare products in Powai, Mumbai. The company offers Inayo, a mobile application platform that enables customers to order medicines and other healthcare products, such as patanjali, prescribed and OTC medicines, Ayurveda/homeopathic/herbal products, healthcare devices, parenting products, and nutritional supplements and health drinks. It also enables customers to order sanitary, baby care, and personal care products, and home care devices.",Healthcare,Healthcare,Health_Tech,,B2C,Order medication and pharma/healthcare products,Delivery of healthcare product,,Mumbai,Maharashtra,Angel investment,Pharmacy & Medical Supplies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,Deal curry,Krieda Solutions Private Limited,2012,"Krieda Solutions Pvt. Ltd. operates an online store for buying and selling pre-owned video games in India. It offers PS4, XBOX ONE, PS3, Xbox 360, PSP, PSVITA, PC, and free to play games, as well as consoles and accessories. ",Technology,Software & Computer Services,Internet_marketplace_and_eCommerce,,B2C,Pre owned vedio games are sold,,,Gurgaon,Haryana,Angel investment,"Movies, Music and Video Games",,,,,,1,Kabeer Jain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,Deal curry,Kulmin Trocializing India ,2015,"Kulmin Trocializing India Pvt. Ltd. operates an online platform that organizes special interest tours to the solo traveler community. It focuses on combining online and real-time travelling at pocket-friendly prices, where trips are hand crafted for a solo traveler. The company allows users to travel, explore, share, and connect with likeminded individuals with similar interests in Delhi, Kolkata, Bangalore, and Mumbai areas",Technology,Software & Computer Services,Consumer_Products_and_Services,,B2C,Organizes special tours,Travel & Tourism,,Noida,Uttar Pradesh,Angel investment,Travel & Tourism,,,,,,1,Shefali  Walia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,Deal curry,Kulzy Media ,2014,"Kulzy Media Pvt Ltd. operates an online platform that enables users to construct their professional identity that facilitates discovery and enables organizations/talent to be found. Its platform also enables users to connect with folks, colleagues/ex colleagues, corporations, brands, and others, and search for work by category, brand, agencies, people, type, year, etc.",Consumer_services,Media,Media_Advertising_and_Gaming,,B2B,Advertising,,,Delhi,,Angel investment,Advertising,,,,,,2,Sandeep Vij,Sreekant Khanekar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,Deal curry,Leaping Caravan,2015,"Leaping Caravan operates as a restaurant in Gurgaon. The company offers navratra and limited edition foods, fun bites, main courses, meals in a box, dals, rice, desserts, breads, and other accompaniments. It also provides various dishes from Bengal, Uttar Pradesh, Delhi, Punjab, Pakistan, and Afghanistan. Leaping Caravan is based in Gurgaon, India.",Consumer_goods,Food and beverage,Hyperlocal_and_Logistics,,B2C,Delivery - food products,,,Gurgaon,Haryana,Angel investment, Food Products,,,,,,1,Megha Tuli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,Deal curry,LogicLadder Technologies Private Limited,2011,"Logicladder is a leader in delivering energy and asset performance savings. We deliver energy savings to small & medium enterprises, large enterprises, campuses and government organizations on an ongoing basis. We are their energy and asset efficiency outsourcing partner",Industrials,Industrial goods and services,Clean_Tech,,B2B,Generates energy and performances to save energy,,,Gurgaon,Haryana,Angel investment,Energy generation,,,,,,2, Atindra Chandel, Mayank Chauhan ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
378,Deal curry,Lollypop Foods Private Limited,2013,Lollypop Foods Private Limited provides online ordering and delivery of Chinese food ,Consumer_goods,Food and beverage,Consumer_Products_and_Services,,B2C,Chinese food ,,,Mumbai,Maharashtra,Angel investment,Food Products,,,,,,2,Gautam Sinha, Hitesh Bhatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381,Deal curry,M.R. Organisation Limited,1984,"M. R. Organisation Limited manufactures, exports, and supplies air and gas compressor kits/parts. It offers rotary screw compressor parts and kits, reciprocating piston compressor parts and kits, vacuum pumps kits and parts, airend rebuilding kits and shaft seal kits, thermostats valves and elements, consumables(air, oil filters, and separators), electrical and electronic components, compressor lubricants, and bare reciprocating piston compressors.",Industrials,Industrial goods and services,Industrial_and_Business_Products_and_Services,,B2C,Kits and parts for air and gas compressors,,,Ahmedabad,Gujarat,Angel investment,Business Support Services,,,,,,1,Mayur Kamdar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,Deal curry,Madhatters Voyage ,2015,Madhatters Voyage Pvt Ltd. provides on demand bike taxi services through a mobile application,Technology,Software & Computer Services,Hyperlocal_and_Logistics,,B2C,Taxi services,,,Gurgaon,Haryana,Angel investment,"Taxi Services, Automobile pooling & Travel",,,,,,1,Mohit Sharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384,Deal curry,Magneto Home Private Limited,2015,"Magneto Home Private Limited provides furniture renting services in Gurgaon, India. It rents home furniture, such as bed room, living room, dining room, and study room furniture. The company also rents office furniture and appliances.",Consumer_goods,personal and household goods,Internet_marketplace_and_eCommerce,,B2B2C,Renting of furnitures,,,Gurgaon,Haryana,Angel investment,Borrow and rent goods and products,,,,,,1,jitendra Gupta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,Deal curry,Manak Waste Management Private Limited,2009,"Manak Waste Management Pvt Ltd. provides an online consumer electronics refurbishment platform. Its platform allows customers to sell their old gadgets, including laptops, mobiles/tabs, desktops, TVs (LCD/LED), and gaming consoles.",Technology,Software & Computer Services,Internet_marketplace_and_eCommerce,,B2C,Second hand gadgets,,,Gurgaon,Haryana,Angel investment,"TV, Appliances Electronics",,,,,,2,Mandeep Manocha,Nakul Kumar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,Deal curry,Manna Healthcare Private Limited,2012,"Manna Healthcare Pvt. Ltd. develops a mobile weight loss coaching application primarily for Indians. The offers ObiNo that assesses BMI, BMR, TDEE, and ideal body weight, plans daily calories basis weight loss goal, suggests calorie-counted Indian meal options, advises on what to eat at restaurants, helps track food intake, reminds to drink eight glasses of water, and reminds to have dinner early and meds on time. ",Healthcare,Healthcare,Health_Tech,,B2C,Weight loss programmer,,,Mumbai,Maharashtra,Angel investment,Fitness & Wellness,,,,,,3,Ritu Soni Srivastava,VishaliSoni,Yogesh Sachdeva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387,Deal curry,Mapmygenome India Limited,2012,Mapmygenome India Limited operates as a molecular diagnostic company.,Healthcare,Healthcare,Health_Tech,,B2C,Health diagnostics,,,Hyderabad,Andhra Pradesh,Angel investment,Diagnostics,,,,,,1,Anu Acharay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,Deal curry,Mech Mocha Game Studios Private Limited,2011,Mech Mocha is a mobile game startup working towards disrupting the casual gaming space in India and build games for next 500Mn mobile gamers of India.,Technology,Software & Computer Services,Media_Advertising_and_Gaming,,B2C,Mobile games,,,Bengaluru,Karnataka,Angel investment,Games and Gaming enablers,,,,,,4,Shilp Gupta,Mohit Rangaraju,Arpita Kapoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
396,Deal curry,Mera Job India Private Limited,2012,MeraJob is India's Job Matching portal offering pre-screened candidates for all your mass hiring needs.,Technology,Software & Computer Services,Industrial_and_Business_Products_and_Services,,B2B,Emplyoment agency,,,Gurgaon,Haryana,Angel investment,Business Training & Employment Agencies,,,,,,4,Ritwick Goshal,Girish Phansalkar,Pallav Sinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,Deal curry,mFicient Technologies Private Limited,2013,"Emficient Technologies Pvt Ltd. is an enterprise mobility solutions startup company that focuses on developing and delivering enterprise mobility platform, solutions, and services for enterprises to enhance employee productivity and business performance. The company offers mficient, a cloud based enterprise mobility platform-as-a-service to build, integrate, deploy, and manage data driven business-to-employee mobile apps for mobilizing business processes, workflows, tasks, reports, databases, and custom applications,",Industrials,Industrial goods and services,Industrial_and_Business_Products_and_Services,,B2B,Consultancy services  to business,,,Delhi,,Angel investment,Buisness and Management consultancy,,,,,,2,Ranjy Nath M,Gyan Tiwari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,Deal curry,MockBank Learning Private Limited,2013,"MockBank Learning Pvt Ltd. provides online mock tests for banking examinations. It provides videos for better understanding, subject tests, custom tests, performance analysis, and personalized faculty interaction sessions. ",Technology,Software & Computer Services,Edu_Tech,,B2C,Mock test for bank examination,,,Bengaluru,Karnataka,Angel investment,Training for entrance exams,,,,,,2,Manesh Jain,Konark Singhal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403,Deal curry,Momoe Technologies Private Limited,2014,Momoe enables people to pay on their mobile phones. Momoe is a location aware smart phone app. People can pay on Momoe with their existing credit cards & debit cards.,Technology,Software & Computer Services,Software_and_Internet_Services,Fin_Tech_and_Payments,B2C,Mobile app for payments,,,Bengaluru,Karnataka,Angel investment,Software services for consumers,,Payments and Wallet,,,,5,Aiman Ashraf,Utkarsh Biradar,Ganesh Balakrishnan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,Deal curry,MyDreamStore,2014,"My Dream Store operates an online platform that allows users to crowdfund custom apparel. The company facilitates a user to launch a campaign by creating an item using an online designer, set a sales goal, add a brief title and description to explain the campaign, share the campaign page with supporters and collect pre-orders towards the goal, and reach the goal and the shirts get printed. ",Financials,Financial services,Fin_Tech_and_Payments,,B2C,Crowdfunding,,,Hyderabad,Andhra Pradesh,Angel investment,Crowdfunding,,,,,,2,Karthik Venkat ,Bala Satish G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411,Deal curry,MyIndianStay Inc,2012,"MyIndianStay, Inc. provides an online platform that connects hosts who have accommodations to rent with guests seeking to rent such accommodations. Its platform enables travellers to book various properties, such as resorts, cottages, bungalows, and others across India, and lets’ people to rent their place to travellers looking for an authentic experience in their city.",Technology,Software & Computer Services,Internet_marketplace_and_eCommerce,,B2C,Platform provides information about rental accommodation,,,panaji,goa,Angel investment,Online Rental,,,,,,2,Shan Gehlot,Umesh Agarwal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414,Deal curry,Nano Job Consultants Private Limited,2011,"Nano Jobs Consultants Pvt. Ltd. operates a platform that enables home owners to discover and hire a domestic help online. Its platform acts as an online aggregator of maid bureaus. The company’s platform allows users to hire housemaids, cooks, baby sitters, and people for senior citizen care in Mumbai, Thane, Pune, and Surat. ",Consumer_services,Retail,Consumer_Products_and_Services,,B2C,Platform for hiring people for domestic work,,,Mumbai,Maharashtra,Angel investment,Servicing,,,,,,2,Anupam Sinhal,Vickash chowdhury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
415,Deal curry,Nayi Disha Studios Private Limited,2012,"Nayi Disha Studios Pvt. Ltd. develops educational computer games for preschool children. Its products are used by schools and preschools in Mumbai, Pune, Ahmedabad, Bengaluru, Hyderabad, Jaipur, Delhi, Gurgaon, Noida, and other cities in India.",Technology,Software & Computer Services,Software_and_Internet_Services,,B2B,Develops education games for pre school kids,,,Delhi,,Angel investment,Internet and software development,,,,,,2,Kartik Aneja,Kushal Bhagia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
