S. No.,source,startupName,foundedDate,description,ICB_industry,ICB_sector,startupClassification,startupClassification2,businessModel,keyword1,keyword2,keyword3,city,state,startupStatus,groupClassification1,groupClassification2,groupClassification3,groupclassification4,Stage at the time of incubation,"Total investment by founders (Rupees, Lakhs)",Number of Founders,founder1Name,founder2Name,founder3Name,incubator,incubatorDate,Start-up stage,incubatorResult,accelerator,accleratorDate,Start-up stage,accelaratorResult,round1Date,round1InvestorCount,round1LeadInvestorType,round1InvestmentAmount,round1Valuation,Round1 Employees (Number),"Round1 Revenues (Rupees, Lakhs)",round2Date,round2InvestorCount,round2LeadInvestorType,round2InvestmentAmount,round2Valuation,Round2 Shareholding,Round2 Employees (Number),"Round2 Revenues (Rupees, Lakhs)",round3Date,round3InvestorCount,round3LeadInvestorType,round3InvestmentAmount,round3Valuation,Round3 Shareholding,Round3 Employees (Number),"Round3 Revenues (Rupees, Lakhs)",Round4 date,Round4 Total investors,Round4 Lead Investor type,Round4 Investment amount (Rupees Crores),Round4 Valuation (Rupees Crores),Round4 Shareholding,Round4 Employees (Number),"Round4 Revenues (Rupees, Lakhs)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shutdown
54,Deal curry,Arsta Eco Private Limited,2014,"ArSta eco has developed innovative technology to convert Biomass to carbon negative energy cocmponents, BioCarbon and BioChemicals. The ArSta eco integrated technology process model ensure that we are able to derive multiple products from a single feedstock thereby ensuring full utilization.",Industrials,Industrial goods and services,Clean_Tech,,B2B,Manufacturer of charcoal briquettes,,,Bengaluru,Karnataka,Angel investment,Biomass and Bio fuels,,,,,,1,Shankar M K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Deal curry,Arth Designbuild India Private Limited,2015,"Arth DesignBuild India Pvt. Ltd. offers architecture, design, planning, and consultation services. The company also provides interior design services, including space planning, theme development, concept design, furniture design, material selection, construction documentation, specification, and site visits. ",Consumer_services,Retail,Consumer_Products_and_Services,,B2C,Online Interior designing,Furniture designing,,Bengaluru,Karnataka,Angel investment,Furnishings & Home Construction,Home Improvement Retailers,,,,,4,Arun Kr Chaubey,Kaialash Chandola,Thumu Karthick Reddy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Deal curry,Askabt Technology Private Limited,2014,"Askabt Technology Pvt. Ltd. develops an online platform to manage real-time crowdsourced queries. Its product enables developers to change their API key, administer, and administer the topics related to the site.",Technology,Software & Computer Services,Software_and_Internet_Services,,B2B,Online platform to manage real-time crowdsourced queries.,,,Bengaluru,Karnataka,Angel investment,API Management,,,,,,1,Aravind Sulekha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Deal curry,Ather Energy Private Limited,2014,Ather Energy is a start-up focused on designing and selling premium electric two wheeler for the Indian market.,Industrials,Industrial goods and services,Industrial_and_Business_Products_and_Services,,B2B,Electric two wheeler designers,,,Bengaluru,Karnataka,Angel investment,Electrical Components & Equipment,,,,,,2,Swapnil Jain,Tarun Mehta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Deal curry,Audio Compass (India) Private Limited,2014,Audio Compass is a software solution for remote broadcasting allowing its users to transfer audio over the internet.,Technology,Software & Computer Services,Technology_,,B2C,Mobile application for travel guide,,,Mumbai,Maharashtra,Angel investment,Internet of things infrastructure,,,,,,1,Gautam Vishamber Shewakramani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Deal curry,August Jewellery Private Limited,2016,"August Jewelry Private Limited develops, designs, and retails contemporary women jewelry through a mobile platform and an online portal. It offers diamond, colored stone, gold, and fine jewelry.",Technology,Software & Computer Services,Consumer_Products_and_Services,,B2C,Online platform for women jewelry,,,Bengaluru,Karnataka,Angel investment,Clothing & Accessories,,,,,,1,Saroja Yeramilli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Deal curry,Awaaz De Infosystems Private Limited,2015,"Awaaz De provides technology solutions and services for development sector organizations to connect with under served communities. It develops cost-effective, easy-to-use communication and data collection tools that work on mobiles and landlines, breaking language and literacy barriers. Awaaz De clients use their applications for health, education, microfinance, and agriculture to increase the impact.",Technology,Software & Computer Services,Software_and_Internet_Services,Technology_,B2C,Technology solutions and services for development sector organizations,,,Ahmedabad,Gujarat,Angel investment,Communication services,,Technology Consulting Services              ,,,,2,Tapan Parikh,Neil Patel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Deal curry,AYN Network Private Limited,2015,"AYN Network Pvt Ltd. operates a performance based ecommerce marketplace that helps manufacturers, brand owners, importers, or wholesale distributors in reaching audience.",Technology,Software & Computer Services,Social_Platforms,,B2B,Connecting manufacturers an whole sellers to customers,,,Delhi,,Angel investment,Connect to Professionals,,,,,,1,Devesh Rai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Deal curry,Banyan Green Fuels ,2014,Banyan Green Fuels Private Limited processes agricultural waste and provides processed waste to large corporations.,Oil and Gas,Oil and gas,Clean_Tech,,B2B,Agricultural waste processors,,,Hyderabad,Andhra Pradesh,Angel investment,Biomass and Bio fuels,,,,,,1,Nityanand Agarwal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Deal curry,Bargain Technologies Private Limited,2014,"Bargain Technologies Pvt Ltd. owns and operates online corporate employee privilege platform, which brings together brands and corporate employees onto a single platform.",Technology,Software & Computer Services,Social_Platforms,,B2B,Connecting brands and corporate employees,,,Delhi,,Angel investment,Connect to Professionals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
