ICB_industry,ICB_sector,accelaratorResult,accelerator,accleratorDate,businessModel,city,companyWebsite,dealInvestmentAmount,description,equityValuation,foundedDate,founderName,groupClassification,incubator,incubatorDate,incubatorResult,investmentStage,investorName,investorType,keyword,linkedinURL,roundDate,roundInvestmentAmount,roundInvestorCount,roundLeadInvestorType,roundValuation,source,stageClassification,startupClassification,startupName,startupStatus,state
Healthcare,Healthcare,,,,B2C,New Delhi,,,Aermed is a one-stop solution to manage the healthcare needs of chronic patients.,,1970-01-01 00:00:00.000002015,,"['Pharmacy & Medical Supplies', nan, nan]",,,,,"['HITESH WINDLASS,OTHERS']",,"['Online pharmacy', nan, nan]",,"[Timestamp('1970-01-01 00:00:00.000042675'), NaT, NaT]","[nan, nan, nan]","[2.0, nan, nan]","['Angel investors', nan, nan]","[nan, nan, nan]",VI,,"['Health-Tech', nan]",AERMED,Angel investment,Delhi
Technology,Software & Computer Services,,,,B2C,Gurgaon,,,Online best deal comparing site for e-commerce,,,,"['Website for information', nan, nan]",,,,,[nan],,"['Comparison Sites', nan, nan]",,"[NaT, NaT, NaT]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",Startup Centre,,"['Social Platforms', 'Not required']",AFFERVE,Acceleration,Harayana
Technology,Software & Computer Services,,,,B2C,Jammu,,,Aframark.com is a business based social networking websites which will make finding businesses or services more fun and interactive just like social networking websites.,,,,"['Connect to Professionals', nan, nan]",,,,,[nan],,"['Connects business and services', nan, nan]",,"[NaT, NaT, NaT]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",Start up Centre,,"['Social Platforms', nan]",AFRAMARK.COM,Incubation,Jammu and Kashmir
Technology,Technology Hardware & Equipment,,,,B2C,,,,It produces an alternative to air conditioners which  will cost less money and electricity.,,,,"['Specialized Consumer Services', nan, nan]",,,,,[nan],,"['Ventilation system', nan, nan]",,"[NaT, NaT, NaT]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",IITM,,"['Consumer Products and Services', 'Not required']",AGASSE,,
Technology,Software & Computer Services,,,,,,,,,,,,"[nan, nan, nan]",,,,,[nan],,"[nan, nan, nan]",,"[NaT, NaT, NaT]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",TCA,,"['Software and Internet Services', nan]",AGASSOFT TECHNOLOGIES,Angel investment,
Technology,Software & Computer Services,,,,,,,,,,,,"[nan, nan, nan]",,,,,[nan],,"[nan, nan, nan]",,"[NaT, NaT, NaT]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",TCA,,"['Software and Internet Services', nan]",AGENCYONNET,Angel investment,
Technology,Software & Computer Services,,,,,Noida,,,Agile Parking Solutions Private Limited develops a cloud based mobile parking application making real time parking information accessible for both supply and demand side.,,1970-01-01 00:00:00.000002015,,"['Software services for consumers', 'Enterprise Networking', nan]",,,,,[nan],,"['Mobile parking application', nan, nan]",,"[NaT, NaT, NaT]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",keyur,,"['Software_and_Internet_Services', nan]",AGILE PARKING SOLUTIONS . ,Angel investment,Uttar Pradesh
Technology,Technology Hardware & Equipment,,,,B2B,,,,The basic idea is to combine the effect of greenhouse with urban farming and increase production.,,,,"['Outsourced and Shared technolgy services', nan, nan]",,,,,[nan],,"['Technology to agriculture', nan, nan]",,"[NaT, NaT, NaT]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",IITM,,"['Technology', 'Not required']",AGRAGIAN,Business Plan,
,,,,,,,,,,,,,"[nan, nan, nan]",,,,,[nan],,"[nan, nan, nan]",,"[NaT, NaT, NaT]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",TCA,,"['Internet marketplace and eCommerce', nan]",AGROFEAST PRODUCE INDIA  ,Angel investment,
Consumer_services,Travel and Leisure,,,,B2B,Noida,,,AHA Taxis is a online aggregator for outstation travel.,,1970-01-01 00:00:00.000002015,,"['Taxi Services, Automobile pooling & Travel', nan, nan]",,,,,"['AH! VENTURES,OTHERS']",,"['Taxi services in tours', 'Trips', nan]",,"[Timestamp('1970-01-01 00:00:00.000042309'), NaT, NaT]","[nan, nan, nan]","[nan, nan, nan]","['Venture forums', nan, nan]","[nan, nan, nan]",VI,,"['Hyperlocal and Logistics', nan]",AHA TAXIS,Angel investment,
