startupName,founderName,website,city
CUUTIO SOFTWARE,"['JARNO WUORISALO', 'JARI PARTTI', 'SARA NIKANDER']",http://www.cuutio.com,Helsinki
CYCLOPS MEDTECH,"['NIRANJAN SUBBARAO', 'RAVI NAYAR', 'D R SRINIVAS', 'DR. SRINIVAS DORASALA']",http://www.cyclopsmedtech.com/,Bangalore
DAILYNINJA,"['ANURAG GUPTA', 'SAGAR YARNALKAR']",http://www.dailyninja.in/,Bengaluru
DAILYOBJECTS-COM,"['PANKAJ GARG', 'SAURAV ADLAKHA']",http://www.dailyobjects.com,New Delhi
DAILYOBJECTS,"['PANKAJ GARG', 'SAURAV ADLAKHA']",http://www.dailyobjects.com,New Delhi
DATAWEAVE,"['KARTHIK RAMESH', 'VIKRANTH RAMANOLLA']",http://dataweave.com,Bangalore
DAWAILELO,['ARPIT SARIN'],http://www.dawailelo.com/,Varanasi
DAYBOX,['ANKUSH GOYAL'],https://www.daybox.in/,New Delhi
DAZO,"['SHASHAANK SHEKHAR SINGHAL', 'MONICA RASTOGI']",http://dazo.in,Bangalore
DEALBERG,[],http://www.dealberg.com/,Bangalore
DEALWITHUS,['KAMAL KISHORE KUMAWAT'],http://dealwithus.co.in,
DELIGHT FOODS,"['HS SRINIVASAN', 'RAMESH KRISHNAMURTHY']",http://delightfoods.com/,Thane
DELYVER,[],http://www.delyver.com/,Bangalore
DESICREW SOLUTIONS,['SALONI MALHOTRA'],http://www.desicrew.in,Chennai
DESIGNBIDS,"['NITHISH MONSON', 'SHREYA BISHT']",http://www.designbids.in/,Bangalore
DESIGNCAFE,"['JAMES MAHLOW', 'CHRISTY MAHLOW']",http://www.interactivedesigncafe.com,Long Beach
DEYOR CAMPS,"['GAUTAM YADAV', 'DHEERAJ JAIN', 'AAKAAR GANDHI']",http://deyorcamps.com/,
DEZYRE,"['OMAIR AASIM', 'BINNY MATHEWS', 'OMAIR AASIM']",http://www.dezyre.com,Redwood City
DIL MIL,"['KJ DHALIWAL', 'JACOB ILIN', 'SUKHMEET TOOR', 'TOM JAMES HOLUB']",http://www.dilmil.co,San Francisco
DISHCO,[],http://dishco.com/,Mumbai
DOCKET TECH,[],,
DOCTOR INSTA,['AMIT MUNJAL'],http://www.DoctorInsta.com,Gurgaon
DOCTORC,"['NEEHAR CHERABUDDI', 'KARAN KURANI', 'MANSI GANDHI']",http://www.doctorc.in,Hyderabad
DOGSEECHEW,['BHUPENDRA KHANAL'],http://www.dogseechew.com/,Bangalore
DOORMINT,['NAMAN LAHOTY'],http://doormint.in/,Andheri
DOSELECT,"['ROHIT TIRKEY', 'SANKET SAURAV', 'ILIYAS SHIROL']",https://doselect.com,Bangalore
DREAMWALLETS,"['MANISH HARODIA', 'NIKHIL AGRAWAL']",https://www.dreamwallets.com/,Jaipur City
DRIVOJOY,"['VISHWANATH KOLLAPUDI', 'RAVINDRA AKELLA', 'AMAN SINGHAL']",http://www.drivojoy.com/,Bengaluru
